/	11925
ɪ	4072
ˈ	3998
ə	3848
t	3337
s	2891
-	2642
n	2613
l	2298
.	2103
d	2099
ː	2009
i	1840
k	1826
ɹ	1666
a	1297
ɛ	1230
b	1215
m	1134
p	1096
r	1038
e	1028
æ	963
ʊ	911
f	903
ɔ	860
(	819
)	819
ʃ	788
ɑ	719
ʌ	700
u	683
ɒ	522
v	500
ɡ	491
[	471
]	471
ˌ	446
ŋ	419
z	408
j	401
o	397
ʒ	329
w	303
ɜ	266
ɚ	230
h	206
ʁ	172
̃	143
ɾ	137
θ	118
̩	113
ð	99
ɝ	97
ɫ	80
̯	77
y	75
̥	69
ˀ	59
ɨ	57
͡	55
g	55
ɐ	54
ˠ	46
̪	45
 	41
ʲ	33
'	30
ʰ	26
ʋ	20
̠	14
x	12
ɻ	12
ᵻ	12
œ	11
ĩ	11
â	10
ʎ	10
ˢ	10
̊	9
ɘ	8
ʔ	8
β	8
ø	8
ʉ	8
ɳ	8
ʷ	7
ʀ	7
ẽ	7
í	7
ʈ	6
ɣ	6
ô	6
ʕ	6
ɖ	6
é	6
̞	5
ç	5
ā	5
ǎ	5
ě	5
ʏ	4
,	4
ǐ	4
:	4
á	4
ɲ	4
’	4
˞	4
̆	3
ã	3
3	3
ǒ	3
ɟ	3
ɵ	3
ê	3
î	3
û	2
 	2
ʼ	2
ì	2
̀	2
ʍ	2
χ	2
ɥ	2
ē	2
ī	2
ɕ	2
q	2
ɽ	2
˩	1
̶	1
ɦ	1
ó	1
​	1
ō	1
ä	1
ũ	1
ⁿ	1
̄	1
̈	1
ʝ	1
c	1
ɧ	1
õ	1
ʂ	1
ṭ	1
ħ	1
ò	1
